a	 a_0
luý	l w i_4
luýa	l w i@_4
luých	l w i_4 k
luýn	l w i_4 n
luýnh	l w i_4 J
luýp	l w i_4 p
luýt	l w i_4 t
luýu	l w i_4 u
luơ	l u_0 7
luế	l w e_4
luề	l w e_1
luể	l w e_2
luễ	l w e_3
luệ	l w e_5
luớ	l u 7_4
luờ	l u 7_1
luở	l u 7_2
luỡ	l u 7_3
luợ	l u 7_5
luỳ	l w i_1
luỵ	l w i_5
luỷ	l w i_2
luỹ	l w i_3
luỳa	l w i@_1
luỵa	l w i@_5
luỷa	l w i@_2
luỹa	l w i@_3
luốc	l u@_4 k
luộc	l u@_5 k
luếch	l w e_4 k_+ 
luệch	l w e_5 k_+ 
luỵch	l w i_5 k
luối	l u@_4 i
luồi	l u@_1 i
luổi	l u@_2 i
luỗi	l u@_3 i
luội	l u@_5 i
luốm	l u@_4 m
luồm	l u@_1 m
luổm	l u@_2 m
luỗm	l u@_3 m
luộm	l u@_5 m
luấn	l u 7_X_4 n
luần	l u 7_X_1 n
luẩn	l u 7_X_2 n
luẫn	l u 7_X_3 n
luận	l u 7_X_5 n
luốn	l u@_4 n
luồn	l u@_1 n
luổn	l u@_2 n
luỗn	l u@_3 n
luộn	l u@_5 n
luỳn	l w i_1 n
luỵn	l w i_5 n
luỷn	l w i_2 n
luỹn	l w i_3 n
luấng	l u 7_X_4 N
luầng	l u 7_X_1 N
luẩng	l u 7_X_2 N
luẫng	l u 7_X_3 N
luậng	l u 7_X_5 N
luống	l u@_4 N
luồng	l u@_1 N
luổng	l u@_2 N
luỗng	l u@_3 N
luộng	l u@_5 N
luếnh	l w e_4 N_+ 
luềnh	l w e_1 N_+ 
luểnh	l w e_2 N_+ 
luễnh	l w e_3 N_+ 
luệnh	l w e_5 N_+ 
luỳnh	l w i_1 J
luỵnh	l w i_5 J
luỷnh	l w i_2 J
luỹnh	l w i_3 J
luốp	l u@_4 p
luộp	l u@_5 p
luỵp	l w i_5 p
luất	l u 7_X_4 t
luật	l u 7_X_5 t
luốt	l u@_4 t
luột	l u@_5 t
luỵt	l w i_5 t
luỳu	l w i_1 u
luỵu	l w i_5 u
luỷu	l w i_2 u
luỹu	l w i_3 u
luấy	l u 7_X_4 i
luầy	l u 7_X_1 i
luẩy	l u 7_X_2 i
luẫy	l u 7_X_3 i
luậy	l u 7_X_5 i
ly	l i_0
là	l a_1
lài	l a_1 i
làm	l a_1 m
làn	l a_1 n
làng	l a_1 N
lành	l a_1 N_+ 
lào	l a_1 O
làu	l a_X_1 u 
lày	l a_X_1 i 
lá	l a_4
lác	l a_4 k
lách	l a_4 k_+ 
lái	l a_4 i
lám	l a_4 m
lán	l a_4 n
láng	l a_4 N
lánh	l a_4 N_+ 
láo	l a_4 O
láp	l a_4 p
lát	l a_4 t
láu	l a_X_4 u 
láy	l a_X_4 i 
lâm	l 7_X_0 m
lân	l 7_X_0 n
lâng	l 7_X_0 N
lâu	l 7_X_0 u
lây	l 7_X_0 i
lã	l a_3
lãi	l a_3 i
lãm	l a_3 m
lãn	l a_3 n
lãng	l a_3 N
lãnh	l a_3 N_+ 
lão	l a_3 O
lãu	l a_X_3 u 
lãy	l a_X_3 i 
lè	l E_1
lèm	l E_1 m
lèn	l E_1 n
lèng	l E_1 N
lèo	l E_1 O
lé	l E_4
léc	l E_4 k
lém	l E_4 m
lén	l E_4 n
léng	l E_4 N
léo	l E_4 O
lép	l E_4 p
lét	l E_4 t
lê	l e_0
lêm	l e_0 m
lên	l e_0 n
lênh	l e_0 N_+ 
lêu	l e_0 u
lì	l i_1
lìa	l i@_1
lìm	l i_1 m
lìn	l i_1 n
lình	l i_1 N_+ 
lìu	l i_1 u
lí	l i_4
lía	l i@_4
lích	l i_4 k_+ 
lím	l i_4 m
lín	l i_4 n
lính	l i_4 N_+ 
líp	l i_4 p
lít	l i_4 t
líu	l i_4 u
lò	l O_1
lòi	l O_1 i
lòm	l O_1 m
lòn	l O_1 n
lòng	l O_1 Nm 
ló	l O_4
lóc	l kp_4 kp 
lói	l O_4 i
lóm	l O_4 m
lón	l O_4 n
lóng	l O_X_4 Nm 
lóp	l O_4 p
lót	l O_4 t
lô	l o_0
lôi	l o_0 i
lôm	l o_0 m
lôn	l o_0 n
lông	l o_0 Nm 
lõ	l O_3
lõi	l O_3 i
lõm	l O_3 m
lõn	l O_3 n
lõng	l O_3 Nm 
lù	l u_1
lùa	l u@_1
lùi	l u_1 i
lùm	l u_1 m
lùn	l u_1 n
lùng	l u_1 Nm 
lú	l u_4
lúa	l u@_4
lúc	l u_4 kp 
lúi	l u_4 i
lúm	l u_4 m
lún	l u_4 n
lúng	l u_4 Nm 
lúp	l u_4 p
lút	l u_4 t
lý	l i_4
lĩ	l i_3
lũ	l u_3
lơ	l 7_0
lư	l M_0
lạ	l a_5
lả	l a_2
lẹ	l E_5
lẻ	l E_2
lẽ	l E_3
lế	l e_4
lề	l e_1
lể	l e_2
lễ	l e_3
lệ	l e_5
lỉ	l i_2
lị	l i_5
lọ	l O_5
lỏ	l O_2
lố	l o_4
lồ	l o_1
lổ	l o_2
lỗ	l o_3
lộ	l o_5
lớ	l 7_4
lờ	l 7_1
lở	l 7_2
lỡ	l 7_3
lợ	l 7_5
lụ	l u_5
lủ	l u_2
lứ	l M_4
lừ	l M_1
lử	l M_2
lữ	l M_3
lự	l M_5
lỳ	l i_1
lỵ	l i_5
lỷ	l i_2
lỹ	l i_3
lĩa	l i@_3
lũa	l u@_3
lưa	l M@_0
lỉa	l i@_2
lịa	l i@_5
lụa	l u@_5
lủa	l u@_2
lứa	l M@_4
lừa	l M@_1
lửa	l M@_2
lữa	l M@_3
lựa	l M@_5
lạc	l a_5 k
lấc	l 7_X_4 k
lậc	l 7_X_5 k
lắc	l a_X_4 k
lặc	l a_X_5 k
lẹc	l E_5 k
lọc	l kp_5 kp 
lốc	l o_4 kp 
lộc	l o_5 kp 
lục	l u_5 kp 
lức	l M_4 k
lực	l M_5 k
lạch	l a_5 k_+ 
lếch	l e_4 k_+ 
lệch	l e_5 k_+ 
lịch	l i_5 k_+ 
lũi	l u_3 i
lơi	l 7_0 i
lưi	l M_0 i
lại	l a_5 i
lải	l a_2 i
lọi	l O_5 i
lỏi	l O_2 i
lối	l o_4 i
lồi	l o_1 i
lổi	l o_2 i
lỗi	l o_3 i
lội	l o_5 i
lới	l 7_4 i
lời	l 7_1 i
lởi	l 7_2 i
lỡi	l 7_3 i
lợi	l 7_5 i
lụi	l u_5 i
lủi	l u_2 i
lứi	l M_4 i
lừi	l M_1 i
lửi	l M_2 i
lữi	l M_3 i
lựi	l M_5 i
lăm	l a_X_0 m
lĩm	l i_3 m
lũm	l u_3 m
lơm	l 7_0 m
lưm	l M_0 m
lạm	l a_5 m
lảm	l a_2 m
lấm	l 7_X_4 m
lầm	l 7_X_1 m
lẩm	l 7_X_2 m
lẫm	l 7_X_3 m
lậm	l 7_X_5 m
lắm	l a_X_4 m
lằm	l a_X_1 m
lẳm	l a_X_2 m
lẵm	l a_X_3 m
lặm	l a_X_5 m
lẹm	l E_5 m
lẻm	l E_2 m
lẽm	l E_3 m
lếm	l e_4 m
lềm	l e_1 m
lểm	l e_2 m
lễm	l e_3 m
lệm	l e_5 m
lỉm	l i_2 m
lịm	l i_5 m
lọm	l O_5 m
lỏm	l O_2 m
lốm	l o_4 m
lồm	l o_1 m
lổm	l o_2 m
lỗm	l o_3 m
lộm	l o_5 m
lớm	l 7_4 m
lờm	l 7_1 m
lởm	l 7_2 m
lỡm	l 7_3 m
lợm	l 7_5 m
lụm	l u_5 m
lủm	l u_2 m
lứm	l M_4 m
lừm	l M_1 m
lửm	l M_2 m
lữm	l M_3 m
lựm	l M_5 m
lăn	l a_X_0 n
lĩn	l i_3 n
lũn	l u_3 n
lơn	l 7_0 n
lưn	l M_0 n
lạn	l a_5 n
lản	l a_2 n
lấn	l 7_X_4 n
lần	l 7_X_1 n
lẩn	l 7_X_2 n
lẫn	l 7_X_3 n
lận	l 7_X_5 n
lắn	l a_X_4 n
lằn	l a_X_1 n
lẳn	l a_X_2 n
lẵn	l a_X_3 n
lặn	l a_X_5 n
lẹn	l E_5 n
lẻn	l E_2 n
lẽn	l E_3 n
lến	l e_4 n
lền	l e_1 n
lển	l e_2 n
lễn	l e_3 n
lện	l e_5 n
lỉn	l i_2 n
lịn	l i_5 n
lọn	l O_5 n
lỏn	l O_2 n
lốn	l o_4 n
lồn	l o_1 n
lổn	l o_2 n
lỗn	l o_3 n
lộn	l o_5 n
lớn	l 7_4 n
lờn	l 7_1 n
lởn	l 7_2 n
lỡn	l 7_3 n
lợn	l 7_5 n
lụn	l u_5 n
lủn	l u_2 n
lứn	l M_4 n
lừn	l M_1 n
lửn	l M_2 n
lữn	l M_3 n
lựn	l M_5 n
lăng	l a_X_0 N
lũng	l u_3 Nm 
lưng	l M_0 N
lạng	l a_5 N
lảng	l a_2 N
lấng	l 7_X_4 N
lầng	l 7_X_1 N
lẩng	l 7_X_2 N
lẫng	l 7_X_3 N
lậng	l 7_X_5 N
lắng	l a_X_4 N
lằng	l a_X_1 N
lẳng	l a_X_2 N
lẵng	l a_X_3 N
lặng	l a_X_5 N
lẹng	l E_5 N
lẻng	l E_2 N
lẽng	l E_3 N
lọng	l O_5 Nm 
lỏng	l O_2 Nm 
lống	l o_4 Nm 
lồng	l o_1 Nm 
lổng	l o_2 Nm 
lỗng	l o_3 Nm 
lộng	l o_5 Nm 
lụng	l u_5 Nm 
lủng	l u_2 Nm 
lứng	l M_4 N
lừng	l M_1 N
lửng	l M_2 N
lững	l M_3 N
lựng	l M_5 N
lĩnh	l i_3 N_+ 
lạnh	l a_5 N_+ 
lảnh	l a_2 N_+ 
lếnh	l e_4 N_+ 
lềnh	l e_1 N_+ 
lểnh	l e_2 N_+ 
lễnh	l e_3 N_+ 
lệnh	l e_5 N_+ 
lỉnh	l i_2 N_+ 
lịnh	l i_5 N_+ 
lạo	l a_5 O
lảo	l a_2 O
lẹo	l E_5 O
lẻo	l E_2 O
lẽo	l E_3 O
lạp	l a_5 p
lấp	l 7_X_4 p
lập	l 7_X_5 p
lắp	l a_X_4 p
lặp	l a_X_5 p
lẹp	l E_5 p
lếp	l e_4 p
lệp	l e_5 p
lịp	l i_5 p
lọp	l O_5 p
lốp	l o_4 p
lộp	l o_5 p
lớp	l 7_4 p
lợp	l 7_5 p
lụp	l u_5 p
lạt	l a_5 t
lất	l 7_X_4 t
lật	l 7_X_5 t
lắt	l a_X_4 t
lặt	l a_X_5 t
lẹt	l E_5 t
lết	l e_4 t
lệt	l e_5 t
lịt	l i_5 t
lọt	l O_5 t
lốt	l o_4 t
lột	l o_5 t
lớt	l 7_4 t
lợt	l 7_5 t
lụt	l u_5 t
lứt	l M_4 t
lựt	l M_5 t
lĩu	l i_3 u
lưu	l M_0 u
lạu	l a_X_5 u 
lảu	l a_X_2 u 
lấu	l 7_X_4 u
lầu	l 7_X_1 u
lẩu	l 7_X_2 u
lẫu	l 7_X_3 u
lậu	l 7_X_5 u
lếu	l e_4 u
lều	l e_1 u
lểu	l e_2 u
lễu	l e_3 u
lệu	l e_5 u
lỉu	l i_2 u
lịu	l i_5 u
lứu	l M_4 u
lừu	l M_1 u
lửu	l M_2 u
lữu	l M_3 u
lựu	l M_5 u
lạy	l a_X_5 i 
lảy	l a_X_2 i 
lấy	l 7_X_4 i
lầy	l 7_X_1 i
lẩy	l 7_X_2 i
lẫy	l 7_X_3 i
lậy	l 7_X_5 i
lước	l M@_4 k
lược	l M@_5 k
lươi	l M@_0 i
lưới	l M@_4 i
lười	l M@_1 i
lưởi	l M@_2 i
lưỡi	l M@_3 i
lượi	l M@_5 i
lươm	l M@_0 m
lướm	l M@_4 m
lườm	l M@_1 m
lưởm	l M@_2 m
lưỡm	l M@_3 m
lượm	l M@_5 m
lươn	l M@_0 n
lướn	l M@_4 n
lườn	l M@_1 n
lưởn	l M@_2 n
lưỡn	l M@_3 n
lượn	l M@_5 n
lương	l M@_0 N
lướng	l M@_4 N
lường	l M@_1 N
lưởng	l M@_2 N
lưỡng	l M@_3 N
lượng	l M@_5 N
lướp	l M@_4 p
lượp	l M@_5 p
lướt	l M@_4 t
lượt	l M@_5 t
lươu	l M@_0 u
lướu	l M@_4 u
lườu	l M@_1 u
lưởu	l M@_2 u
lưỡu	l M@_3 u
lượu	l M@_5 u
ma	m a_0
mai	m a_0 i
mam	m a_0 m
man	m a_0 n
mang	m a_0 N
manh	m a_0 N_+ 
mao	m a_0 O
mau	m a_X_0 u 
may	m a_X_0 i 
me	m E_0
mem	m E_0 m
men	m E_0 n
meng	m E_0 N
meo	m E_0 O
mi	m i_0
mia	m i@_0
mim	m i_0 m
min	m i_0 n
minh	m i_0 N_+ 
miu	m i_0 u
miêm	m i@_0 m
miên	m i@_0 n
miêng	m i@_0 N
miêu	m i@_0 u
miếc	m i@_4 k
miệc	m i@_5 k
miếm	m i@_4 m
miềm	m i@_1 m
miểm	m i@_2 m
miễm	m i@_3 m
miệm	m i@_5 m
miến	m i@_4 n
miền	m i@_1 n
miển	m i@_2 n
miễn	m i@_3 n
miện	m i@_5 n
miếng	m i@_4 N
miềng	m i@_1 N
miểng	m i@_2 N
miễng	m i@_3 N
miệng	m i@_5 N
miếp	m i@_4 p
miệp	m i@_5 p
miết	m i@_4 t
miệt	m i@_5 t
miếu	m i@_4 u
miều	m i@_1 u
miểu	m i@_2 u
miễu	m i@_3 u
miệu	m i@_5 u
mo	m O_0
moa	m w a_0
moai	m w a_0 i
moam	m w a_0 m
moan	m w a_0 n
moang	m w a_0 N
moanh	m w a_0 N_+ 
moao	m w a_0 O
moay	m w a_X_0 i 
moe	m w E_0
moem	m w E_0 m
moen	m w E_0 n
moeo	m w E_0 O
moi	m O_0 i
mom	m O_0 m
mon	m O_0 n
mong	m O_0 Nm 
moong	m O_0 N
moà	m w a_1
moài	m w a_1 i
moàm	m w a_1 m
moàn	m w a_1 n
moàng	m w a_1 N
moành	m w a_1 N_+ 
moào	m w a_1 O
moày	m w a_X_1 i 
moá	m w a_4
moác	m w a_4 k
moách	m w a_4 k_+ 
moái	m w a_4 i
moám	m w a_4 m
moán	m w a_4 n
moáng	m w a_4 N
moánh	m w a_4 N_+ 
moáo	m w a_4 O
moáp	m w a_4 p
moát	m w a_4 t
moáy	m w a_X_4 i 
moã	m w a_3
moãi	m w a_3 i
moãm	m w a_3 m
moãn	m w a_3 n
moãng	m w a_3 N
moãnh	m w a_3 N_+ 
moão	m w a_3 O
moãy	m w a_X_3 i 
moè	m w E_1
moèm	m w E_1 m
moèn	m w E_1 n
moèo	m w E_1 O
moé	m w E_4
moém	m w E_4 m
moén	m w E_4 n
moéo	m w E_4 O
moét	m w E_4 t
moòng	m O O_1 N
moóc	m O O_4 k
moóng	m O O_4 N
moõng	m O O_3 N
moạ	m w a_5
moả	m w a_2
moẹ	m w E_5
moẻ	m w E_2
moẽ	m w E_3
moạc	m w a_5 k
moắc	m w a_X_4 k
moặc	m w a_X_5 k
moọc	m O O_5 k
moạch	m w a_5 k_+ 
moại	m w a_5 i
moải	m w a_2 i
moăm	m w a_X_0 m
moạm	m w a_5 m
moảm	m w a_2 m
moắm	m w a_X_4 m
moằm	m w a_X_1 m
moẳm	m w a_X_2 m
moẵm	m w a_X_3 m
moặm	m w a_X_5 m
moẹm	m w E_5 m
moẻm	m w E_2 m
moẽm	m w E_3 m
moăn	m w a_X_0 n
moạn	m w a_5 n
moản	m w a_2 n
moắn	m w a_X_4 n
moằn	m w a_X_1 n
moẳn	m w a_X_2 n
moẵn	m w a_X_3 n
moặn	m w a_X_5 n
moẹn	m w E_5 n
moẻn	m w E_2 n
moẽn	m w E_3 n
moăng	m w a_X_0 N
moạng	m w a_5 N
moảng	m w a_2 N
moắng	m w a_X_4 N
moằng	m w a_X_1 N
moẳng	m w a_X_2 N
moẵng	m w a_X_3 N
moặng	m w a_X_5 N
moọng	m O O_5 N
moỏng	m O O_2 N
moạnh	m w a_5 N_+ 
moảnh	m w a_2 N_+ 
moạo	m w a_5 O
moảo	m w a_2 O
moẹo	m w E_5 O
moẻo	m w E_2 O
moẽo	m w E_3 O
moạp	m w a_5 p
moạt	m w a_5 t
moắt	m w a_X_4 t
moặt	m w a_X_5 t
moẹt	m w E_5 t
moạy	m w a_X_5 i 
moảy	m w a_X_2 i 
mu	m u_0
mua	m u@_0
mui	m u_0 i
mum	m u_0 m
mun	m u_0 n
mung	m u_0 Nm 
muy	m u_0 i
muya	m u_0 i@
muyn	m u i_0 n
muynh	m u i_0 J
muyu	m u i_0 u_0
muyên	m u i@_0 n
muyến	m u i@_4 n
muyền	m u i@_1 n
muyển	m u i@_2 n
muyễn	m u i@_3 n
muyện	m u i@_5 n
muyết	m u i@_4 t
muyệt	m u i@_5 t
muân	m u 7_X_0 n
muâng	m u 7_X_0 N
muây	m u 7_X_0 i_0
muê	m u_0 e
muênh	m u e_0 J
muôi	m u@_0 i
muôm	m u@_0 m
muôn	m u@_0 n
muông	m u@_0 N
muý	m u i_4
muýa	m u i@_4
muých	m u i_4 k
muýn	m u i_4 n
muýnh	m u i_4 J
muýp	m u i_4 p
muýt	m u i_4 t
muýu	m u i_4 u
muơ	m u_0 7
muế	m u e_4
muề	m u e_1
muể	m u e_2
muễ	m u e_3
muệ	m u e_5
muớ	m u 7_4
muờ	m u 7_1
muở	m u 7_2
muỡ	m u 7_3
muợ	m u 7_5
muỳ	m u i_1
muỵ	m u i_5
muỷ	m u i_2
muỹ	m u i_3
muỳa	m u i@_1
muỵa	m u i@_5
muỷa	m u i@_2
muỹa	m u i@_3
muốc	m u@_4 k
muộc	m u@_5 k
muếch	m u e_4 k
muệch	m u e_5 k
muỵch	m u i_5 k
muối	m u@_4 i
muồi	m u@_1 i
muổi	m u@_2 i
muỗi	m u@_3 i
muội	m u@_5 i
muốm	m u@_4 m
muồm	m u@_1 m
muổm	m u@_2 m
muỗm	m u@_3 m
muộm	m u@_5 m
muấn	m u 7_X_4 n
muần	m u 7_X_1 n
muẩn	m u 7_X_2 n
muẫn	m u 7_X_3 n
muận	m u 7_X_5 n
muốn	m u@_4 n
muồn	m u@_1 n
muổn	m u@_2 n
muỗn	m u@_3 n
muộn	m u@_5 n
muỳn	m u i_1 n
muỵn	m u i_5 n
muỷn	m u i_2 n
muỹn	m u i_3 n
muấng	m u 7_X_4 N
muầng	m u 7_X_1 N
muẩng	m u 7_X_2 N
muẫng	m u 7_X_3 N
muậng	m u 7_X_5 N
muống	m u@_4 N
muồng	m u@_1 N
muổng	m u@_2 N
muỗng	m u@_3 N
muộng	m u@_5 N
muếnh	m u e_4 J
muềnh	m u e_1 J
muểnh	m u e_2 J
muễnh	m u e_3 J
muệnh	m u e_5 J
muỳnh	m u i_1 J
muỵnh	m u i_5 J
muỷnh	m u i_2 J
muỹnh	m u i_3 J
muốp	m u@_4 p
muộp	m u@_5 p
muỵp	m u i_5 p
muất	m u 7_X_4 t
muật	m u 7_X_5 t
muốt	m u@_4 t
muột	m u@_5 t
muỵt	m u i_5 t
muỳu	m u i_1 u
muỵu	m u i_5 u
muỷu	m u i_2 u
muỹu	m u i_3 u
muấy	m u 7_X_4 i
muầy	m u 7_X_1 i
muẩy	m u 7_X_2 i
muẫy	m u 7_X_3 i
muậy	m u 7_X_5 i
my	m i_0
mà	m a_1
mài	m a_1 i
màm	m a_1 m
màn	m a_1 n
màng	m a_1 N
mành	m a_1 N_+ 
mào	m a_1 O
màu	m a_X_1 u 
mày	m a_X_1 i 
má	m a_4
mác	m a_4 k
mách	m a_4 k_+ 
mái	m a_4 i
mám	m a_4 m
mán	m a_4 n
máng	m a_4 N
mánh	m a_4 N_+ 
máo	m a_4 O
máp	m a_4 p
mát	m a_4 t
máu	m a_X_4 u 
máy	m a_X_4 i 
mâm	m 7_X_0 m
mân	m 7_X_0 n
mâng	m 7_X_0 N
mâu	m 7_X_0 u
mây	m 7_X_0 i
mã	m a_3
mãi	m a_3 i
mãm	m a_3 m
mãn	m a_3 n
mãng	m a_3 N
mãnh	m a_3 N_+ 
mão	m a_3 O
mãu	m a_X_3 u 
mãy	m a_X_3 i 
mè	m E_1
mèm	m E_1 m
mèn	m E_1 n
mèng	m E_1 N
mèo	m E_1 O
mé	m E_4
méc	m E_4 k
mém	m E_4 m
mén	m E_4 n
méng	m E_4 N
méo	m E_4 O
mép	m E_4 p
mét	m E_4 t
mê	m e_0
mêm	m e_0 m
mên	m e_0 n
mênh	m e_0 N_+ 
mêu	m e_0 u
mì	m i_1
mìa	m i@_1
mìm	m i_1 m
mìn	m i_1 n
mình	m i_1 N_+ 
mìu	m i_1 u
mí	m i_4
mía	m i@_4
mích	m i_4 k_+ 
mím	m i_4 m
mín	m i_4 n
mính	m i_4 N_+ 
míp	m i_4 p
mít	m i_4 t
míu	m i_4 u
mò	m O_1
mòi	m O_1 i
mòm	m O_1 m
mòn	m O_1 n
mòng	m O_1 Nm 
mó	m O_4
móc	m kp_4 kp 
mói	m O_4 i
móm	m O_4 m
món	m O_4 n
móng	m O_X_4 Nm 
móp	m O_4 p
mót	m O_4 t
mô	m o_0
môi	m o_0 i
môm	m o_0 m
môn	m o_0 n
mông	m o_0 Nm 
mõ	m O_3
mõi	m O_3 i
mõm	m O_3 m
mõn	m O_3 n
mõng	m O_3 Nm 
mù	m u_1
mùa	m u@_1
mùi	m u_1 i
mùm	m u_1 m
mùn	m u_1 n
mùng	m u_1 Nm 
mú	m u_4
múa	m u@_4
múc	m u_4 kp 
múi	m u_4 i
múm	m u_4 m
mún	m u_4 n
múng	m u_4 Nm 
múp	m u_4 p
mút	m u_4 t
mý	m i_4
mĩ	m i_3
mũ	m u_3
mơ	m 7_0
mư	m M_0
mạ	m a_5
mả	m a_2
mẹ	m E_5
mẻ	m E_2
mẽ	m E_3
mế	m e_4
mề	m e_1
mể	m e_2
mễ	m e_3
mệ	m e_5
mỉ	m i_2
mị	m i_5
mọ	m O_5
mỏ	m O_2
mố	m o_4
mồ	m o_1
mổ	m o_2
mỗ	m o_3
mộ	m o_5
mớ	m 7_4
mờ	m 7_1
mở	m 7_2
mỡ	m 7_3
mợ	m 7_5
mụ	m u_5
mủ	m u_2
mứ	m M_4
mừ	m M_1
mử	m M_2
mữ	m M_3
mự	m M_5
mỳ	m i_1
mỵ	m i_5
mỷ	m i_2
mỹ	m i_3
mĩa	m i@_3
mũa	m u@_3
mưa	m M@_0
mỉa	m i@_2
mịa	m i@_5
mụa	m u@_5
mủa	m u@_2
mứa	m M@_4
mừa	m M@_1
mửa	m M@_2
mữa	m M@_3
mựa	m M@_5
mạc	m a_5 k
mấc	m 7_X_4 k
mậc	m 7_X_5 k
mắc	m a_X_4 k
mặc	m a_X_5 k
mẹc	m E_5 k
mọc	m kp_5 kp 
mốc	m o_4 kp 
mộc	m o_5 kp 
mục	m u_5 kp 
mức	m M_4 k
mực	m M_5 k
mạch	m a_5 k_+ 
mếch	m e_4 k_+ 
mệch	m e_5 k_+ 
mịch	m i_5 k_+ 
mũi	m u_3 i
mơi	m 7_0 i
mưi	m M_0 i
mại	m a_5 i
mải	m a_2 i
mọi	m O_5 i
mỏi	m O_2 i
mối	m o_4 i
mồi	m o_1 i
mổi	m o_2 i
mỗi	m o_3 i
mội	m o_5 i
mới	m 7_4 i
mời	m 7_1 i
mởi	m 7_2 i
mỡi	m 7_3 i
mợi	m 7_5 i
mụi	m u_5 i
mủi	m u_2 i
mứi	m M_4 i
mừi	m M_1 i
mửi	m M_2 i
mữi	m M_3 i
mựi	m M_5 i
măm	m a_X_0 m
mĩm	m i_3 m
mũm	m u_3 m
mơm	m 7_0 m
mưm	m M_0 m
mạm	m a_5 m
mảm	m a_2 m
mấm	m 7_X_4 m
mầm	m 7_X_1 m
mẩm	m 7_X_2 m
mẫm	m 7_X_3 m
mậm	m 7_X_5 m
mắm	m a_X_4 m
mằm	m a_X_1 m
mẳm	m a_X_2 m
mẵm	m a_X_3 m
mặm	m a_X_5 m
mẹm	m E_5 m
mẻm	m E_2 m
mẽm	m E_3 m
mếm	m e_4 m
mềm	m e_1 m
mểm	m e_2 m
mễm	m e_3 m
mệm	m e_5 m
mỉm	m i_2 m
mịm	m i_5 m
mọm	m O_5 m
mỏm	m O_2 m
mốm	m o_4 m
mồm	m o_1 m
mổm	m o_2 m
mỗm	m o_3 m
mộm	m o_5 m
mớm	m 7_4 m
mờm	m 7_1 m
mởm	m 7_2 m
mỡm	m 7_3 m
mợm	m 7_5 m
mụm	m u_5 m
mủm	m u_2 m
mứm	m M_4 m
mừm	m M_1 m
mửm	m M_2 m
mữm	m M_3 m
mựm	m M_5 m
măn	m a_X_0 n
mĩn	m i_3 n
mũn	m u_3 n
mơn	m 7_0 n
mưn	m M_0 n
mạn	m a_5 n
mản	m a_2 n
mấn	m 7_X_4 n
mần	m 7_X_1 n
mẩn	m 7_X_2 n
mẫn	m 7_X_3 n
mận	m 7_X_5 n
mắn	m a_X_4 n
mằn	m a_X_1 n
mẳn	m a_X_2 n
mẵn	m a_X_3 n
mặn	m a_X_5 n
mẹn	m E_5 n
mẻn	m E_2 n
mẽn	m E_3 n
mến	m e_4 n
mền	m e_1 n
mển	m e_2 n
mễn	m e_3 n
mện	m e_5 n
mỉn	m i_2 n
mịn	m i_5 n
mọn	m O_5 n
mỏn	m O_2 n
mốn	m o_4 n
mồn	m o_1 n
mổn	m o_2 n
mỗn	m o_3 n
mộn	m o_5 n
mớn	m 7_4 n
mờn	m 7_1 n
mởn	m 7_2 n
mỡn	m 7_3 n
mợn	m 7_5 n
mụn	m u_5 n
mủn	m u_2 n
mứn	m M_4 n
mừn	m M_1 n
mửn	m M_2 n
mữn	m M_3 n
mựn	m M_5 n
măng	m a_X_0 N
mũng	m u_3 Nm 
mưng	m M_0 N
mạng	m a_5 N
mảng	m a_2 N
mấng	m 7_X_4 N
mầng	m 7_X_1 N
mẩng	m 7_X_2 N
mẫng	m 7_X_3 N
mậng	m 7_X_5 N
mắng	m a_X_4 N
mằng	m a_X_1 N
mẳng	m a_X_2 N
mẵng	m a_X_3 N
mặng	m a_X_5 N
mẹng	m E_5 N
mẻng	m E_2 N
mẽng	m E_3 N
mọng	m O_5 Nm 
mỏng	m O_2 Nm 
mống	m o_4 Nm 
mồng	m o_1 Nm 
mổng	m o_2 Nm 
mỗng	m o_3 Nm 
mộng	m o_5 Nm 
mụng	m u_5 Nm 
mủng	m u_2 Nm 
mứng	m M_4 N
mừng	m M_1 N
mửng	m M_2 N
mững	m M_3 N
mựng	m M_5 N
mĩnh	m i_3 N_+ 
mạnh	m a_5 N_+ 
mảnh	m a_2 N_+ 
mếnh	m e_4 N_+ 
mềnh	m e_1 N_+ 
mểnh	m e_2 N_+ 
mễnh	m e_3 N_+ 
mệnh	m e_5 N_+ 
mỉnh	m i_2 N_+ 
mịnh	m i_5 N_+ 
mạo	m a_5 O
mảo	m a_2 O
mẹo	m E_5 O
mẻo	m E_2 O
mẽo	m E_3 O
mạp	m a_5 p
mấp	m 7_X_4 p
mập	m 7_X_5 p
mắp	m a_X_4 p
mặp	m a_X_5 p
mẹp	m E_5 p
mếp	m e_4 p
mệp	m e_5 p
mịp	m i_5 p
mọp	m O_5 p
mốp	m o_4 p
mộp	m o_5 p
mớp	m 7_4 p
mợp	m 7_5 p
mụp	m u_5 p
mạt	m a_5 t
mất	m 7_X_4 t
mật	m 7_X_5 t
mắt	m a_X_4 t
mặt	m a_X_5 t
mẹt	m E_5 t
mết	m e_4 t
mệt	m e_5 t
mịt	m i_5 t
mọt	m O_5 t
mốt	m o_4 t
một	m o_5 t
mớt	m 7_4 t
mợt	m 7_5 t
mụt	m u_5 t
mứt	m M_4 t
mựt	m M_5 t
mĩu	m i_3 u
mưu	m M_0 u
